	Features	0-precision	1-precision	0-recall	1-recall	0-fscore	1-fscore	Accuracy	Std-Error
0	Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.639895165987187	0.0627423949587958
1	DiabetesPedigreeFunction	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6535430013589595	0.0191239687752697
2	DiabetesPedigreeFunction,Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6358765288293535	0.05752302404567251
3	BMI	0.6644295302013423	0.5	0.9801980198019802	0.038461538461538464	0.7919999999999999	0.07142857142857144	0.6357018054746651	0.03200913348409511
4	BMI,Age	0.8734177215189873	0.5675675675675675	0.6831683168316832	0.8076923076923077	0.7666666666666667	0.6666666666666666	0.6832459716559891	0.04245904012385444
5	BMI,DiabetesPedigreeFunction	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6277421859833042	0.05117443347467805
6	BMI,DiabetesPedigreeFunction,Age	0.75	0.8	0.9504950495049505	0.38461538461538464	0.8384279475982532	0.5194805194805195	0.6694039992234518	0.05327679132944359
7	Insulin	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6535430013589595	0.0035804474484341163
8	Insulin,Age	0.8045977011494253	0.5303030303030303	0.693069306930693	0.6730769230769231	0.7446808510638299	0.5932203389830509	0.6537177247136479	0.06130092808496812
9	Insulin,DiabetesPedigreeFunction	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6219180741603572	0.03179470785204756
10	Insulin,DiabetesPedigreeFunction,Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6281110463987576	0.04497789109984821
11	Insulin,BMI	0.6842105263157895	0.5	0.900990099009901	0.19230769230769232	0.7777777777777778	0.2777777777777778	0.6238400310619298	0.05484921364152682
12	Insulin,BMI,Age	0.6793893129770993	0.45454545454545453	0.8811881188118812	0.19230769230769232	0.7672413793103449	0.27027027027027023	0.6457969326344399	0.04859092014577487
13	Insulin,BMI,DiabetesPedigreeFunction	0.7264957264957265	0.5555555555555556	0.8415841584158416	0.38461538461538464	0.7798165137614679	0.4545454545454546	0.6791496796738496	0.0452935367964986
14	Insulin,BMI,DiabetesPedigreeFunction,Age	0.7931034482758621	0.5151515151515151	0.6831683168316832	0.6538461538461539	0.7340425531914894	0.576271186440678	0.6535818287711125	0.0343445086300227
15	SkinThickness	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6535430013589595	0.0035804474484341163
16	SkinThickness,Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6379343816734615	0.05375553200263863
17	SkinThickness,DiabetesPedigreeFunction	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6476024072995535	0.02338852894870211
18	SkinThickness,DiabetesPedigreeFunction,Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6280528052805281	0.049039743985844486
19	SkinThickness,BMI	0.639344262295082	0.25806451612903225	0.7722772277227723	0.15384615384615385	0.6995515695067265	0.1927710843373494	0.6140361094933022	0.034147069986534155
20	SkinThickness,BMI,Age	0.6714285714285714	0.46153846153846156	0.9306930693069307	0.11538461538461539	0.7800829875518672	0.18461538461538463	0.6003494467093768	0.05093726602551891
21	SkinThickness,BMI,DiabetesPedigreeFunction	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6356241506503592	0.05848877649028934
